id,comment,chars,relevance,risk_behaviors,primary_risk,risk_verbatim,relation,cancer_type,health_seeking,outcome,note,conf_overall,flags
c0017,พ่อเป็นมะเร็งที่กรวยไตครับ ชอบกินอาหารหวาน ครีม เค้ก ขนมปัง กับกาแฟใส่หวานทุกเช้า ตรวจเจอระยะสุดท้ายครับ,104,personal_story,sugary_drinks,sugary_drinks,ชอบกินอาหารหวาน ครีม เค้ก ขนมปัง กับกาแฟใส่หวานทุกเช้า,family,kidney,screening_checkup,not_stated,พ่อของผู้แสดงความคิดเห็นตรวจพบมะเร็งที่กรวยไตระยะสุดท้าย โดยระบุพฤติกรรมชอบทานของหวาน ขนม และกาแฟหวานทุกเช้า,0.95,
c0018,"ป๊าเป็นมะเร็งหลอดอาหาร กินของเผ็ดบ่อย กินแล้วนอน กินของดอง กินของไม่สุก กินเบียร์ นึกว่าเป็นกรดไหลย้อน กว่าจะเจอก็สุดท้ายแล้ว
ตรวจสุขภาพกันบ่อยๆนะคะ",148,personal_story,strong_flavour|irregular_meals|fermented_pickled|raw_undercooked|alcohol,strong_flavour,กินของเผ็ดบ่อย | กินแล้วนอน | กินของดอง | กินของไม่สุก | กินเบียร์,family,esophagus,advice_to_others,not_stated,พ่อของผู้แสดงความเห็นเป็นมะเร็งหลอดอาหารระยะสุดท้าย มีพฤติกรรมกินของเผ็ด กินแล้วนอน กินของดอง ของไม่สุก และดื่มเบียร์ พร้อมเตือนให้คนอื่นตรวจสุขภาพบ่อยๆ,0.95,
c0020,"เครียด นอนน้อย
กินจังกฟู้ด ไม่ออกกำลังกาย",41,risk_opinion,stress|poor_sleep|unhealthy_diet_general|no_exercise,stress,เครียด | นอนน้อย | กินจังกฟู้ด | ไม่ออกกำลังกาย,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงคือ เครียด นอนน้อย กินจังก์ฟู้ด และไม่ออกกำลังกาย โดยไม่ได้ระบุเคสเฉพาะเจาะจงหรือชนิดของมะเร็ง,0.95,
c0021,แม่เราสูดดมควันบุหรี่มือ 2 จากพ่อเรา 30 ปี เป็นๆหายๆอยู่ 10 กว่าปี สุดท้ายหนีไปเป็นนางฟ้าบนสวรรค์ ส่วนพ่อเราแข็งแรง สูบบุหรี่เหมือนเดิม,135,personal_story,smoking,smoking,สูดดมควันบุหรี่มือ 2,family,not_stated,none_mentioned,died,แม่ของผู้แสดงความคิดเห็นได้รับควันบุหรี่มือสองจากพ่อเป็นเวลา 30 ปี ป่วยเรื้อรังกว่า 10 ปีก่อนเสียชีวิต,0.92,
c0022,แม่ไม่กินอาหารแปรรูป,20,risk_opinion,none_mentioned,none_mentioned,,family,not_stated,none_mentioned,not_stated,ระบุว่าแม่ไม่รับประทานอาหารแปรรูป ไม่ได้ระบุว่าป่วยเป็นมะเร็งหรือมีพฤติกรรมเสี่ยงใด,0.85,
c0023,แม่เป็นมะเร็งเต้านม มีหน้าที่ทำกับข้าวตลอดทุกมื้อ,49,personal_story,smoke_fumes_home,smoke_fumes_home,ทำกับข้าวตลอดทุกมื้อ,family,breast,none_mentioned,not_stated,แม่ของผู้แสดงความคิดเห็นเป็นมะเร็งเต้านม โดยระบุว่ามีหน้าที่ทำกับข้าวตลอดทุกมื้อ,0.88,
c0024,พักผ่อนน้อย ทำงานแบบเข้าเวรกลางคืน เครียดจากงาน,47,risk_opinion,overwork|poor_sleep|stress,overwork,พักผ่อนน้อย | ทำงานแบบเข้าเวรกลางคืน | เครียดจากงาน,general,not_stated,none_mentioned,not_stated,ระบุว่าความเสี่ยงเกิดจากการพักผ่อนน้อย การทำงานเข้าเวรกลางคืน และความเครียดจากการทำงาน,0.9,
c0025,ทำงาน 14 ชม เลิกงานดื่มต่อ นอนวันละ2 -4 ชม. ต่อเนื่อง 7ปี,57,risk_opinion,overwork|alcohol|poor_sleep,overwork,ทำงาน 14 ชม | เลิกงานดื่มต่อ | นอนวันละ2 -4 ชม.,self,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมทำงานวันละ 14 ชั่วโมง ดื่มแอลกอฮอล์หลังเลิกงาน และนอนเพียงวันละ 2-4 ชั่วโมงต่อเนื่องนาน 7 ปี,0.9,
c0026,แดรกเหล้าเกือบทุกวัน กลับบ้านดึกนอนดึก แวะซื้อของเซเว่นกินก่อนนอน แดรกแมคโดนัล ไดพ์ทรู สุดท้ายมะเร็งแดรก,104,personal_story,alcohol|poor_sleep|irregular_meals|unhealthy_diet_general,alcohol,แดรกเหล้าเกือบทุกวัน | กลับบ้านดึกนอนดึก | แวะซื้อของเซเว่นกินก่อนนอน | แดรกแมคโดนัล ไดพ์ทรู,unclear,unspecified,none_mentioned,not_stated,ผู้แสดงความเห็นเล่าถึงพฤติกรรมดื่มเหล้าเกือบทุกวัน นอนดึก กินอาหารเซเว่นก่อนนอน และกินแมคโดนัลด์ จนสุดท้ายเป็นมะเร็ง,0.85,
c0027,กินอาหารค้างคืนที่แช่เย็นบ่อยๆค่ะ hello มะเร็งกระเพาะ,53,risk_opinion,reheated_leftover,reheated_leftover,กินอาหารค้างคืนที่แช่เย็นบ่อยๆ,general,stomach,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าการกินอาหารค้างคืนที่แช่เย็นบ่อยๆ สัมพันธ์กับความเสี่ยงมะเร็งกระเพาะอาหาร,0.9,
c0028,เครียด นอนไม่เป็นเวลา,21,risk_opinion,stress|poor_sleep,stress,เครียด | นอนไม่เป็นเวลา,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าความเครียดและการนอนไม่เป็นเวลาเป็นพฤติกรรมเสี่ยง,0.95,
c0029,เครียด นอนน้อย ทานของหมักดอง ของแปรรูปคะ,40,risk_opinion,stress|poor_sleep|fermented_pickled|processed_meat,stress,เครียด | นอนน้อย | ทานของหมักดอง | ของแปรรูป,general,not_stated,none_mentioned,not_stated,ระบุพฤติกรรมเสี่ยงว่าเกิดจากความเครียด นอนน้อย การรับประทานของหมักดอง และอาหารแปรรูป,0.95,
c0030,"ลูกสาวเราคะ เป็นมะเร็งต่อมหมวกไต
ได้จากไปเมื่อหกเดือนก่อน ในวัย 5 ปี ...
ซึ่งไม่สามารถหาสาเหตุการเกิดโรคที่แน่ชัดได้
แต่มันก็เกิดขึ้น และมีเด็กอีกจำนวนมาก ที่เป็นมะเร็งแต่ละชนิด",177,personal_story,none_mentioned,none_mentioned,,family,other,none_mentioned,died,ลูกสาวของผู้แสดงความคิดเห็นป่วยเป็นมะเร็งต่อมหมวกไตและเสียชีวิตเมื่อ 6 เดือนก่อนในวัย 5 ปี โดยระบุว่าไม่ทราบสาเหตุการเกิดโรคที่แน่ชัด,0.95,
c0031,เครียด ชอบกินอาหารแปรรูป กินน้ำน้อย ทำงานแบบหักโหมค่ะ..,55,risk_opinion,stress|processed_meat|other_risk|overwork,stress,เครียด | อาหารแปรรูป | กินน้ำน้อย | ทำงานแบบหักโหม,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าพฤติกรรมเสี่ยงคือ ความเครียด การรับประทานอาหารแปรรูป การดื่มน้ำน้อย และการทำงานหักโหม,0.92,
c0032,เครียด ทำงานหนัก พักผ่อนน้อย,28,risk_opinion,stress|overwork,stress,เครียด | ทำงานหนัก | พักผ่อนน้อย,general,not_stated,none_mentioned,not_stated,ระบุว่าความเครียด การทำงานหนัก และการพักผ่อนน้อย เป็นพฤติกรรมเสี่ยงที่ทำให้เกิดมะเร็ง,0.95,
c0033,ชอบทานลูกชิ้นทอด พักผ่อนน้อยมากกก,33,risk_opinion,processed_meat|fried_fatty|overwork,processed_meat,ลูกชิ้นทอด | พักผ่อนน้อยมากกก,self,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมของตนเองว่าชอบรับประทานลูกชิ้นทอดและพักผ่อนน้อยมาก,0.88,
c0034,"พ่อเราไม่ยอมอาบน้ำหลังจากฉีดยาฆ่าหญ้าทำเป็นประจำ แต่ไม่ทุกวัน แบบสะสมสารเคมี จนอายุ 62 ภูมิคุ้มกันเริ่มลดลง มีอาการเหนื่อยง่าย ซีด สรุปเป็นเม็ดเลือดขาวเฉียบพลัน สู้อยู่ได้ 3 เดือน
พูดแล้วก็คิดถึงมากๆ",199,personal_story,chemicals,chemicals,ไม่ยอมอาบน้ำหลังจากฉีดยาฆ่าหญ้าทำเป็นประจำ | สะสมสารเคมี,family,leukemia,none_mentioned,died,คุณพ่อของผู้แสดงความเห็นได้รับสารเคมีสะสมจากการไม่อาบน้ำหลังฉีดยาฆ่าหญ้า ต่อมาป่วยเป็นมะเร็งเม็ดเลือดขาวเฉียบพลันและเสียชีวิตหลังจากนั้น 3 เดือน,0.92,
c0035,"กินของดี กินของสะอาด ดูแลสุขภาพดีมาก กินข้าวตรงเวลา
ไม่ค่อยกินอาหารแปรรูป มาม่า ไม่ชอบเลย แต่อาจจะมาพลาดตรงชอบกินผักสดอาจจะมีสารตกค้างและพักผ่อนน้อยค่ะ",151,risk_opinion,chemicals|overwork,chemicals,ชอบกินผักสดอาจจะมีสารตกค้าง | พักผ่อนน้อย,self,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าตนเองดูแลสุขภาพดี แต่คิดว่าอาจมีความเสี่ยงจากสารเคมีตกค้างในผักสดและการพักผ่อนน้อย,0.85,
c0036,เครียด นอนน้อย ไม่ออกกำลังกาย กินอาหารไม่มีประโยชน์,51,risk_opinion,stress|poor_sleep|no_exercise|unhealthy_diet_general,stress,เครียด | นอนน้อย | ไม่ออกกำลังกาย | กินอาหารไม่มีประโยชน์,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงคือ ความเครียด การนอนน้อย ไม่ออกกำลังกาย และการกินอาหารที่ไม่มีประโยชน์,0.95,
c0037,คุณแม่ที่เสียจากมะเร็งปอด กรรมพันธุ์ เครียด ชาเย็นวันละสองแก้วค่ะ,65,personal_story,genetic_family|stress|sugary_drinks,genetic_family,กรรมพันธุ์ | เครียด | ชาเย็นวันละสองแก้ว,family,lung,none_mentioned,died,คุณแม่ของผู้แสดงความคิดเห็นเสียชีวิตจากมะเร็งปอด โดยระบุปัจจัยเสี่ยงว่ามีกรรมพันธุ์ ความเครียด และการดื่มชาเย็นวันละสองแก้ว,0.95,
c0038,ไม่ใช่ตัวเอง แต่คือคนในครอบครัว : เครียดง่าย คิดลบ ให้อภัยยาก ถือสาไปหมดแม้เรื่องเล็กน้อย ทำเรื่องเล็กให้เป็นปัญหาใหญ่ ความทรงจำแย่ๆพูดซ้ำๆหลายสิบปีไม่มูฟออน เจ้าคิดเจ้าแค้น,173,risk_opinion,stress,stress,เครียดง่าย | คิดลบ | ให้อภัยยาก | ถือสาไปหมดแม้เรื่องเล็กน้อย | ทำเรื่องเล็กให้เป็นปัญหาใหญ่ | ความทรงจำแย่ๆพูดซ้ำๆหลายสิบปีไม่มูฟออน | เจ้าคิดเจ้าแค้น,family,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุถึงคนในครอบครัวว่ามีพฤติกรรมเครียดง่าย คิดลบ เจ้าคิดเจ้าแค้น และยึดติดกับความทรงจำแย่ๆ,0.85,
c0039,"น้ำหวาน อาหารเวฟร้อนร้านสะดวกซื้อ ปาตั้งโก๋
กาแฟ ของมันๆ ไม่กิน ไม่ออกกำลัง ท้องผูก",83,risk_opinion,sugary_drinks|reheated_leftover|fried_fatty|irregular_meals|no_exercise|irregular_bowel,sugary_drinks,น้ำหวาน | อาหารเวฟร้อนร้านสะดวกซื้อ | ปาตั้งโก๋ | กาแฟ | ของมันๆ | ไม่กิน | ไม่ออกกำลัง | ท้องผูก,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงได้แก่ การดื่มน้ำหวาน กาแฟ การทานอาหารเวฟ ปาท่องโก๋ ของมัน การไม่กินอาหาร ไม่ออกกำลังกาย และอาการท้องผูก,0.85,
c0040,กินปลาร้าดิบๆ ก้อยขม ซอยจุ๊และอื่นๆ,35,risk_opinion,raw_undercooked|fermented_pickled,raw_undercooked,กินปลาร้าดิบๆ | ก้อยขม | ซอยจุ๊,general,not_stated,none_mentioned,not_stated,ผู้แสดงความเห็นระบุว่าพฤติกรรมเสี่ยงคือการรับประทานของดิบ เช่น ปลาร้าดิบ ก้อยขม และซอยจุ๊,0.95,
c0041,ไม่ดูแลความดันกินตามใจไตดับ เสี่ยงดีเหมือนกัน,45,risk_opinion,chronic_condition|unhealthy_diet_general,chronic_condition,ไม่ดูแลความดัน | กินตามใจ,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุถึงพฤติกรรมไม่ดูแลความดันโลหิตและการกินตามใจปากในเชิงประชดประชันว่าเป็นความเสี่ยง,0.85,sarcasm_or_joke
c0042,"อันแรกเลย เครียด
กินอาหารซ้ำๆ อาหารค้างคืน
กินอาหารแปรรูป ชอบกินไส้กรอกย่าง
อาหารมันๆทอดๆ",89,risk_opinion,stress|reheated_leftover|processed_meat|grilled_charred|fried_fatty,stress,เครียด | กินอาหารซ้ำๆ | อาหารค้างคืน | กินอาหารแปรรูป | ชอบกินไส้กรอกย่าง | อาหารมันๆทอดๆ,general,not_stated,none_mentioned,not_stated,ผู้แสดงความเห็นระบุว่าความเครียดเป็นสาเหตุอันดับแรก รวมถึงพฤติกรรมการกินอาหารซ้ำๆ อาหารค้างคืน อาหารแปรรูป ไส้กรอกย่าง และอาหารมันของทอด,0.95,
c0043,อ่านดูแล้ว เครียดมาอันดับ 1 พักผ่อนน้อยและอาหารแปรรูป ร่วมด้วยทุกคนเลยค่ะ,73,risk_opinion,stress|overwork|processed_meat,stress,เครียด | พักผ่อนน้อย | อาหารแปรรูป,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นสังเกตและสรุปจากคอมเมนต์อื่นว่า ความเครียดเป็นสาเหตุอันดับหนึ่ง รวมถึงการพักผ่อนน้อยและอาหารแปรรูป,0.9,
c0044,ชอบกินบะหมีสำเร็จรูป หมูเด้ง เครียด กินอาหารแปรรูป,50,risk_opinion,processed_meat|stress,processed_meat,ชอบกินบะหมีสำเร็จรูป | หมูเด้ง | เครียด | กินอาหารแปรรูป,self,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงคือการรับประทานบะหมี่กึ่งสำเร็จรูป หมูเด้ง อาหารแปรรูป และมีความเครียด,0.92,
c0045,"ผมเริ่มเป็นช่วงอายุประมาณ18ครับ ตอนนั้นคือชอบทานโฮลเกรน,ซีเรียล,มาม่ามากครับ เพราะมองแค่เรื่องประหยัดเวลา,รวดเร็ว,ง่ายครับ + กับมีความเครียด,พักผ่อนน้อย เพราะจะเข้ามหาลัยด้วยครับ",178,personal_story,processed_meat|stress|overwork,processed_meat,มาม่ามากครับ | มีความเครียด | พักผ่อนน้อย,self,unspecified,none_mentioned,not_stated,ผู้แสดงความคิดเห็นเล่าว่าเริ่มมีอาการ/เป็นโรคตอนอายุประมาณ 18 ปี โดยช่วงนั้นชอบทานมาม่า มีความเครียด และพักผ่อนน้อยเนื่องจากเตรียมเข้ามหาวิทยาลัย,0.88,
c0046,นอนน้อยวันล่ะ 1-2 ชม เครียด รับภาระเยอะ กินข้าวไม่ตรงเวลา ไม่ออกกำลังกาย =มะเร็งลำไส้,85,risk_opinion,poor_sleep|stress|overwork|irregular_meals|no_exercise,poor_sleep,นอนน้อยวันล่ะ 1-2 ชม | เครียด | รับภาระเยอะ | กินข้าวไม่ตรงเวลา | ไม่ออกกำลังกาย,general,colorectal,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงที่เชื่อว่าทำให้เป็นมะเร็งลำไส้ ได้แก่ นอนน้อย เครียด มีภาระเยอะ กินข้าวไม่ตรงเวลา และไม่ออกกำลังกาย,0.92,
c0047,"พักผ่อนไม่พอ
กินข้าวไม่ตรงเวลา
ดื่มน้ำน้อย
เป็นลำไส้อักเสบบ่อยๆไม่ยอมไปหาหมอเพราะคิดว่ามันจะหายเอง
ไม่ออกกำลังกาย
กินแต่อาหารที่ไม่มีประโยชน์
ก่อนจะไปตรวจ ถ่ายเป็นเลือดจนคิดว่าเป็นประจำเดือน",190,personal_story,overwork|irregular_meals|other_risk|chronic_condition|no_screening|no_exercise|unhealthy_diet_general,overwork,พักผ่อนไม่พอ | กินข้าวไม่ตรงเวลา | ดื่มน้ำน้อย | เป็นลำไส้อักเสบบ่อยๆ | ไม่ยอมไปหาหมอเพราะคิดว่ามันจะหายเอง | ไม่ออกกำลังกาย | กินแต่อาหารที่ไม่มีประโยชน์,self,colorectal,delayed_care|screening_checkup,not_stated,ผู้แสดงความคิดเห็นเล่าพฤติกรรมเสี่ยงของตนเอง เช่น พักผ่อนไม่พอ กินไม่ตรงเวลา ไม่ออกกำลังกาย กินอาหารไม่มีประโยชน์ ลำไส้อักเสบเรื้อรังและไม่ยอมไปหาหมอ จนกระทั่งถ่ายเป็นเลือดจึงไปตรวจ,0.85,
c0048,ชอบกินไส้กรอกหมูย่างอาหารปิ้งย่างอาหารแปรรูปทุกชนิดกินหมดเลยค่ะจนได้เป็นมะเร็งลำไส้ค่ะ,86,personal_story,processed_meat|grilled_charred,processed_meat,ไส้กรอก | หมูย่าง | อาหารปิ้งย่าง | อาหารแปรรูปทุกชนิด,self,colorectal,none_mentioned,not_stated,ผู้แสดงความคิดเห็นเล่าว่าตนเองชอบรับประทานไส้กรอก หมูย่าง อาหารปิ้งย่าง และอาหารแปรรูปทุกชนิดจนป่วยเป็นมะเร็งลำไส้,0.95,
c0049,เครียด ทุกอย่าง..ต้องเป๊ะ..ต้องดี ไม่ปล่อยวาง...ใช้ชีวิตสุดโต่ง..,65,risk_opinion,stress,stress,เครียด | ทุกอย่าง..ต้องเป๊ะ..ต้องดี ไม่ปล่อยวาง...ใช้ชีวิตสุดโต่ง..,general,not_stated,none_mentioned,not_stated,ระบุว่าความเครียด ความสมบูรณ์แบบ ความกดดันไม่ปล่อยวาง และการใช้ชีวิตสุดโต่งเป็นปัจจัยเสี่ยง,0.88,
c0050,,256,personal_story,stress|poor_sleep|low_veg_fibre|unhealthy_diet_general,stress,ชอบเครียด | นอนดึกตี2-ตี3ทุกวัน | ไม่กินผลไม้เลย | กินอาหารตามใจปาก | นอนไม่พอ,self,lymphoma,none_mentioned,not_stated,ผู้แสดงความคิดเห็นเล่าว่าตัวเองมักเครียด นอนดึกวันละ 4-6 ชั่วโมงติดต่อกันเป็นปี ไม่กินผลไม้ และกินตามใจปาก จนร่างกายป่วยง่ายก่อนจะตรวจพบว่าเป็นมะเร็งต่อมน้ำเหลือง,0.95,
c0051,"ของที่ชอบในตอนนี้น
กลับกายเป็นของที่ห้าม
กินในตอนนี้",52,risk_opinion,none_mentioned,none_mentioned,,general,not_stated,none_mentioned,not_stated,ผู้แสดงความเห็นระบุว่าของที่เคยชอบรับประทานในอดีต กลายมาเป็นของที่ถูกห้ามรับประทานในปัจจุบัน โดยไม่ได้ระบุชนิดอาหารหรือพฤติกรรมเฉพาะเจาะจง,0.75,ambiguous
c0053,ของทอดทุกชนิด เนื้อสัตว์ไม่ชอบทานผักผลไม้,41,risk_opinion,fried_fatty|low_veg_fibre,fried_fatty,ของทอดทุกชนิด | เนื้อสัตว์ไม่ชอบทานผักผลไม้,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุว่าของทอดทุกชนิด การทานเนื้อสัตว์ และการไม่ชอบทานผักผลไม้ เป็นพฤติกรรมเสี่ยง,0.92,
c0054,ตรวจร่างกายประจำปีตลอดครับ ดีกว่าตรวจเจอ ระยะ3-4ร่างกายจะทรุด,61,advice_info,none_mentioned,none_mentioned,,self,not_stated,screening_checkup|advice_to_others,not_stated,ผู้แสดงความคิดเห็นแนะนำและเล่าว่าตนเองตรวจสุขภาพประจำปีสม่ำเสมอ ดีกว่าตรวจเจอในระยะลุกลามที่ร่างกายจะทรุด,0.9,
c0055,ไม่หลับไม่นอนดื่มแต่Lกฮ ค่ะ หลายสิบปี,37,risk_opinion,poor_sleep|alcohol,poor_sleep,ไม่หลับไม่นอน | ดื่มแต่Lกฮ,general,not_stated,none_mentioned,not_stated,ผู้แสดงความคิดเห็นระบุพฤติกรรมเสี่ยงคือการไม่หลับไม่นอนและดื่มแอลกอฮอล์ต่อเนื่องมานานหลายสิบปี,0.85,
